Date,District_Name,Today_Positive,Total_Positive,Today_Discharge,Total_Discharge,Total_Active_Cases,Today_Deaths,Total_Deaths,Total_Population
01-07-2020,Bagalakot,1.06,0.11,0.32,0.07,0.04,0.26,0.26,"18,89,752"
02-07-2020,Bagalakot,0.53,0.12,0,0.07,0.05,0.26,0.26,"18,89,752"
03-07-2020,Bagalakot,0.42,0.12,0,0.07,0.05,0.26,0.26,"18,89,752"
04-07-2020,Bagalakot,0,0.12,0,0.07,0.05,0.26,0.26,"18,89,752"
05-07-2020,Bagalakot,0.21,0.12,0.74,0.07,0.05,0.26,0.26,"18,89,752"
06-07-2020,Bagalakot,1.75,0.14,0,0.07,0.06,0.32,0.32,"18,89,752"
07-07-2020,Bagalakot,1.38,0.15,0.21,0.07,0.07,0.37,0.37,"18,89,752"
08-07-2020,Bagalakot,1.27,0.17,0.48,0.08,0.08,0.37,0.37,"18,89,752"
10-07-2020,Bagalakot,0.32,0.19,0,0.08,0.1,0.37,0.37,"18,89,752"
11-07-2020,Bagalakot,1.96,0.21,0,0.08,0.12,0.48,0.48,"18,89,752"
12-07-2020,Bagalakot,0.37,0.21,1.48,0.09,0.11,0.11,0.58,"18,89,752"
13-07-2020,Bagalakot,1.96,0.23,1.64,0.11,0.11,0.11,0.69,"18,89,752"
14-07-2020,Bagalakot,4.13,0.27,0,0.11,0.15,0.21,0.9,"18,89,752"
15-07-2020,Bagalakot,1.8,0.29,0,0.11,0.17,0.16,1.06,"18,89,752"
16-07-2020,Bagalakot,2.06,0.31,0.37,0.11,0.18,0.26,1.32,"18,89,752"
17-07-2020,Bagalakot,1.53,0.33,0,0.11,0.2,0.05,1.38,"18,89,752"
19-07-2020,Bagalakot,3.18,0.36,1.11,0.14,0.21,0.11,1.64,"18,89,752"
20-07-2020,Bagalakot,2.86,0.39,0,0.14,0.24,0.16,1.8,"18,89,752"
21-07-2020,Bagalakot,3.44,0.43,2.86,0.17,0.24,0,1.8,"18,89,752"
22-07-2020,Bagalakot,3.7,0.46,0,0.17,0.28,0.11,1.91,"18,89,752"
23-07-2020,Bagalakot,5.61,0.52,0,0.17,0.33,0,1.91,"18,89,752"
24-07-2020,Bagalakot,9.74,0.62,0,0.17,0.43,0,1.91,"18,89,752"
25-07-2020,Bagalakot,3.02,0.65,8.41,0.25,0.38,0,1.91,"18,89,752"
26-07-2020,Bagalakot,2.17,0.67,8.1,0.33,0.32,0.11,2.01,"18,89,752"
27-07-2020,Bagalakot,1.43,0.68,0.69,0.34,0.32,0.11,2.12,"18,89,752"
28-07-2020,Bagalakot,6.09,0.75,4.6,0.39,0.34,0.11,2.22,"18,89,752"
29-07-2020,Bagalakot,3.02,0.78,1.11,0.4,0.35,0.11,2.33,"18,89,752"
30-07-2020,Bagalakot,6.67,0.84,2.91,0.43,0.39,0.11,2.43,"18,89,752"
31-07-2020,Bagalakot,4.66,0.89,0,0.43,0.44,0.05,2.49,"18,89,752"
01-08-2020,Bagalakot,7.09,0.96,5.34,0.48,0.45,0,2.49,"18,89,752"
02-08-2020,Bagalakot,6.93,1.03,3.18,0.51,0.49,0.11,2.59,"18,89,752"
03-08-2020,Bagalakot,11.06,1.14,3.39,0.55,0.57,0,2.59,"18,89,752"
04-08-2020,Bagalakot,7.62,1.22,1.48,0.56,0.63,0.05,2.65,"18,89,752"
05-08-2020,Bagalakot,7.88,1.29,2.22,0.58,0.69,0,2.65,"18,89,752"
06-08-2020,Bagalakot,8.89,1.38,1.75,0.6,0.76,0.05,2.7,"18,89,752"
07-08-2020,Bagalakot,7.83,1.46,4.45,0.64,0.79,0,2.7,"18,89,752"
08-08-2020,Bagalakot,7.88,1.54,19.9,0.84,0.67,0,2.7,"18,89,752"
09-08-2020,Bagalakot,7.88,1.62,2.54,0.87,0.72,0,2.7,"18,89,752"
10-08-2020,Bagalakot,7.78,1.7,17.62,1.05,0.62,0.05,2.75,"18,89,752"
11-08-2020,Bagalakot,7.14,1.77,8.36,1.13,0.61,0.05,2.8,"18,89,752"
12-08-2020,Bagalakot,9,1.86,11.22,1.24,0.59,0,2.8,"18,89,752"
13-08-2020,Bagalakot,7.57,1.93,8.57,1.33,0.58,0.05,2.86,"18,89,752"
14-08-2020,Bagalakot,9.05,2.02,15.66,1.48,0.51,0,2.86,"18,89,752"
15-08-2020,Bagalakot,8.89,2.11,7.3,1.56,0.53,0,2.86,"18,89,752"
16-08-2020,Bagalakot,8.26,2.2,2.33,1.58,0.59,0,2.86,"18,89,752"
17-08-2020,Bagalakot,8.68,2.28,5.34,1.63,0.62,0.05,2.91,"18,89,752"
18-08-2020,Bagalakot,9.05,2.37,13.97,1.77,0.57,0.05,2.96,"18,89,752"
19-08-2020,Bagalakot,8.63,2.46,15.93,1.93,0.5,0,2.96,"18,89,752"
20-08-2020,Bagalakot,8.41,2.54,15.72,2.09,0.42,0,2.96,"18,89,752"
21-08-2020,Bagalakot,6.09,2.6,4.29,2.13,0.44,0,2.96,"18,89,752"
22-08-2020,Bagalakot,7.3,2.68,6.46,2.2,0.45,0.05,3.02,"18,89,752"
23-08-2020,Bagalakot,7.36,2.75,7.41,2.27,0.45,0.05,3.07,"18,89,752"
24-08-2020,Bagalakot,2.8,2.78,6.88,2.34,0.41,0.16,3.23,"18,89,752"
25-08-2020,Bagalakot,4.39,2.82,4.07,2.38,0.41,0,3.23,"18,89,752"
26-08-2020,Bagalakot,8.15,2.9,5.03,2.43,0.44,0.26,3.49,"18,89,752"
27-08-2020,Bagalakot,6.4,2.97,6.3,2.49,0.44,0.16,3.65,"18,89,752"
28-08-2020,Bagalakot,7.83,3.05,7.46,2.57,0.44,0.16,3.81,"18,89,752"
29-08-2020,Bagalakot,8.04,3.13,7.3,2.64,0.45,0.05,3.86,"18,89,752"
30-08-2020,Bagalakot,6.99,3.2,9.74,2.74,0.42,0,3.86,"18,89,752"
31-08-2020,Bagalakot,9.1,3.29,11.06,2.85,0.4,0.05,3.92,"18,89,752"
01-09-2020,Bagalakot,7.2,3.36,4.29,2.89,0.43,0.11,4.02,"18,89,752"
02-09-2020,Bagalakot,8.78,3.45,4.6,2.94,0.47,0,4.02,"18,89,752"
03-09-2020,Bagalakot,6.51,3.51,4.18,2.98,0.49,0.05,4.07,"18,89,752"
04-09-2020,Bagalakot,5.19,3.57,5.24,3.03,0.49,0.05,4.13,"18,89,752"
06-09-2020,Bagalakot,9.53,3.74,7.57,3.14,0.55,0,4.23,"18,89,752"
07-09-2020,Bagalakot,6.67,3.8,6.67,3.21,0.55,0.05,4.29,"18,89,752"
08-09-2020,Bagalakot,11.22,3.92,8.73,3.3,0.58,0,4.29,"18,89,752"
09-09-2020,Bagalakot,11.59,4.03,8.94,3.38,0.6,0.11,4.39,"18,89,752"
10-09-2020,Bagalakot,4.07,4.07,5.72,3.44,0.59,0.05,4.45,"18,89,752"
11-09-2020,Bagalakot,9.95,4.17,6.83,3.51,0.62,0.05,4.5,"18,89,752"
12-09-2020,Bagalakot,9.26,4.26,6.19,3.57,0.65,0,4.5,"18,89,752"
13-09-2020,Bagalakot,8.73,4.35,2.75,3.6,0.71,0,4.5,"18,89,752"
14-09-2020,Bagalakot,8.78,4.44,7.73,3.68,0.72,0.16,4.66,"18,89,752"
15-09-2020,Bagalakot,0,4.44,0,3.68,0.72,0,4.66,"18,89,752"
16-09-2020,Bagalakot,8.36,4.52,0,3.68,0.8,0,4.71,"18,89,752"
17-09-2020,Bagalakot,12.38,4.65,35.51,4.03,0.57,0.21,4.92,"18,89,752"
18-09-2020,Bagalakot,10.9,4.76,5.93,4.09,0.61,0.16,5.08,"18,89,752"
19-09-2020,Bagalakot,8.04,4.84,2.86,4.12,0.67,0.05,5.13,"18,89,752"
20-09-2020,Bagalakot,4.76,4.88,5.61,4.18,0.66,0.05,5.19,"18,89,752"
21-09-2020,Bagalakot,6.51,4.95,8.15,4.26,0.64,0.11,5.29,"18,89,752"
22-09-2020,Bagalakot,4.07,4.99,16.67,4.42,0.51,0.11,5.4,"18,89,752"
23-09-2020,Bagalakot,2.65,5.02,2.54,4.45,0.51,0,5.4,"18,89,752"
24-09-2020,Bagalakot,3.18,5.05,2.28,4.47,0.52,0,5.4,"18,89,752"
25-09-2020,Bagalakot,7.14,5.12,2.54,4.5,0.57,0.05,5.45,"18,89,752"
26-09-2020,Bagalakot,7.78,5.2,2.22,4.52,0.62,0.05,5.5,"18,89,752"
27-09-2020,Bagalakot,2.43,5.22,6.19,4.58,0.58,0.05,5.56,"18,89,752"
28-09-2020,Bagalakot,10.11,5.32,3.76,4.62,0.65,0,5.56,"18,89,752"
29-09-2020,Bagalakot,6.77,5.39,4.66,4.67,0.67,0,5.56,"18,89,752"
30-09-2020,Bagalakot,2.7,5.42,24.77,4.91,0.45,0.05,5.61,"18,89,752"
01-10-2020,Bagalakot,17.78,5.59,3.65,4.95,0.59,0.05,5.66,"18,89,752"
02-10-2020,Bagalakot,3.6,5.63,3.76,4.99,0.59,0.11,5.77,"18,89,752"
03-10-2020,Bagalakot,4.66,5.68,10.95,5.1,0.52,0,5.77,"18,89,752"
04-10-2020,Bagalakot,5.13,5.73,7.67,5.17,0.5,0.05,5.82,"18,89,752"
05-10-2020,Bagalakot,8.41,5.81,7.83,5.25,0.5,0,5.82,"18,89,752"
06-10-2020,Bagalakot,4.45,5.86,4.87,5.3,0.5,0,5.82,"18,89,752"
07-10-2020,Bagalakot,6.4,5.92,7.94,5.38,0.48,0.16,5.98,"18,89,752"
08-10-2020,Bagalakot,5.19,5.97,17.67,5.56,0.36,0.16,6.14,"18,89,752"
09-10-2020,Bagalakot,4.02,6.01,5.72,5.61,0.34,0,6.14,"18,89,752"
10-10-2020,Bagalakot,6.56,6.08,7.67,5.69,0.33,0.05,6.19,"18,89,752"
11-10-2020,Bagalakot,6.83,6.15,4.18,5.73,0.35,0,6.19,"18,89,752"
12-10-2020,Bagalakot,8.52,6.23,3.65,5.77,0.4,0.11,6.3,"18,89,752"
13-10-2020,Bagalakot,4.66,6.28,4.87,5.82,0.4,0.05,6.35,"18,89,752"
14-10-2020,Bagalakot,8.36,6.36,5.03,5.87,0.43,0.11,6.46,"18,89,752"
15-10-2020,Bagalakot,7.04,6.43,2.54,5.89,0.47,0.05,6.51,"18,89,752"
16-10-2020,Bagalakot,4.02,6.47,5.87,5.95,0.46,0.05,6.56,"18,89,752"
17-10-2020,Bagalakot,8.04,6.55,7.57,6.03,0.46,0.05,6.61,"18,89,752"
18-10-2020,Bagalakot,7.3,6.63,4.18,6.07,0.49,0.05,6.67,"18,89,752"
19-10-2020,Bagalakot,4.97,6.68,3.44,6.1,0.51,0.05,6.72,"18,89,752"
20-10-2020,Bagalakot,1.43,6.69,1.96,6.12,0.5,0.05,6.77,"18,89,752"
21-10-2020,Bagalakot,6.03,6.75,9.79,6.22,0.46,0,6.77,"18,89,752"
22-10-2020,Bagalakot,3.12,6.78,13.65,6.36,0.36,0.05,6.83,"18,89,752"
24-10-2020,Bagalakot,3.02,6.82,7.94,6.53,0.22,0.05,6.93,"18,89,752"
25-10-2020,Bagalakot,2.17,6.84,5.93,6.59,0.18,0,6.93,"18,89,752"
26-10-2020,Bagalakot,2.7,6.87,3.81,6.63,0.17,0,6.93,"18,89,752"
27-10-2020,Bagalakot,1.8,6.89,4.07,6.67,0.15,0,6.93,"18,89,752"
28-10-2020,Bagalakot,1.38,6.9,2.43,6.69,0.14,0,6.93,"18,89,752"
29-10-2020,Bagalakot,1.01,6.91,2.59,6.72,0.12,0,6.93,"18,89,752"
30-10-2020,Bagalakot,1.06,6.92,2.65,6.74,0.11,0,6.93,"18,89,752"
31-10-2020,Bagalakot,1.27,6.94,2.86,6.77,0.09,0,6.93,"18,89,752"
01-12-2020,Bagalakot,0.58,7.15,0.48,7.02,0.06,0,7.2,"18,89,752"
02-12-2020,Bagalakot,0.64,7.16,1.43,7.03,0.05,0,7.2,"18,89,752"
03-12-2020,Bagalakot,0.37,7.16,0.53,7.04,0.05,0,7.2,"18,89,752"
04-12-2020,Bagalakot,0.16,7.16,1.22,7.05,0.04,0,7.2,"18,89,752"
05-12-2020,Bagalakot,0.64,7.17,0.37,7.05,0.04,0,7.2,"18,89,752"
06-12-2020,Bagalakot,0.26,7.17,0.42,7.06,0.04,0,7.2,"18,89,752"
07-12-2020,Bagalakot,0.69,7.18,0.42,7.06,0.04,0,7.2,"18,89,752"
08-12-2020,Bagalakot,0.21,7.18,0.37,7.07,0.04,0,7.2,"18,89,752"
09-12-2020,Bagalakot,0.48,7.19,0.74,7.07,0.04,0,7.2,"18,89,752"
10-12-2020,Bagalakot,0.37,7.19,0.53,7.08,0.04,0,7.2,"18,89,752"
11-12-2020,Bagalakot,0.42,7.19,0.64,7.09,0.04,0,7.2,"18,89,752"
12-12-2020,Bagalakot,0.42,7.2,0.32,7.09,0.04,0,7.2,"18,89,752"
13-12-2020,Bagalakot,0.16,7.2,0.58,7.1,0.03,0,7.2,"18,89,752"
14-12-2020,Bagalakot,0.21,7.2,0.42,7.1,0.03,0,7.2,"18,89,752"
15-12-2020,Bagalakot,0.32,7.21,0.21,7.1,0.03,0,7.2,"18,89,752"
16-12-2020,Bagalakot,0.26,7.21,0.48,7.11,0.03,0,7.2,"18,89,752"
17-12-2020,Bagalakot,0.16,7.21,0.53,7.11,0.03,0,7.2,"18,89,752"
18-12-2020,Bagalakot,0.05,7.21,0.21,7.11,0.02,0,7.2,"18,89,752"
19-12-2020,Bagalakot,0.64,7.22,0.53,7.12,0.03,0,7.2,"18,89,752"
20-12-2020,Bagalakot,0.37,7.22,0.26,7.12,0.03,0,7.2,"18,89,752"
21-12-2020,Bagalakot,0,7.22,0.16,7.12,0.03,0,7.2,"18,89,752"
22-12-2020,Bagalakot,0.05,7.22,0.69,7.13,0.02,0,7.2,"18,89,752"
23-12-2020,Bagalakot,0.05,7.22,0.05,7.13,0.02,0,7.2,"18,89,752"
24-12-2020,Bagalakot,0.05,7.22,0.32,7.13,0.02,0,7.2,"18,89,752"
25-12-2020,Bagalakot,0.11,7.22,0.26,7.14,0.01,0,7.2,"18,89,752"
26-12-2020,Bagalakot,0.11,7.22,0.21,7.14,0.01,0,7.2,"18,89,752"
27-12-2020,Bagalakot,0.21,7.23,0.26,7.14,0.01,0,7.2,"18,89,752"
28-12-2020,Bagalakot,0,7.23,0.37,7.14,0.01,0,7.2,"18,89,752"
29-12-2020,Bagalakot,0.11,7.23,0.26,7.15,0.01,0,7.2,"18,89,752"
30-12-2020,Bagalakot,0.42,7.23,0.05,7.15,0.01,0,7.2,"18,89,752"
31-12-2020,Bagalakot,0.48,7.24,0.11,7.15,0.02,0,7.2,"18,89,752"
01-01-2021,Bagalakot,0.85,7.24,0.32,7.15,0.02,0,7.2,"18,89,752"
02-01-2021,Bagalakot,0.21,7.25,0.21,7.15,0.02,0,7.2,"18,89,752"
03-01-2021,Bagalakot,0.21,7.25,0,7.15,0.02,0,7.2,"18,89,752"
04-01-2021,Bagalakot,0.05,7.25,0.32,7.16,0.02,0,7.2,"18,89,752"
05-01-2021,Bagalakot,0.05,7.25,0.32,7.16,0.02,0,7.2,"18,89,752"
06-01-2021,Bagalakot,0.21,7.25,0,7.16,0.02,0,7.2,"18,89,752"
07-01-2021,Bagalakot,0,7.25,0,7.16,0.02,0,7.2,"18,89,752"
08-01-2021,Bagalakot,0.26,7.25,0.16,7.16,0.02,0,7.2,"18,89,752"
09-01-2021,Bagalakot,0.11,7.26,0.53,7.17,0.02,0,7.2,"18,89,752"
10-01-2021,Bagalakot,0,7.26,0.21,7.17,0.01,0,7.2,"18,89,752"
11-01-2021,Bagalakot,0.05,7.26,0.11,7.17,0.01,0,7.2,"18,89,752"
12-01-2021,Bagalakot,0.16,7.26,0.05,7.17,0.01,0,7.2,"18,89,752"
13-01-2021,Bagalakot,0.37,7.26,0.37,7.18,0.01,0,7.2,"18,89,752"
14-01-2021,Bagalakot,0.05,7.26,0.37,7.18,0.01,0,7.2,"18,89,752"
15-01-2021,Bagalakot,0.05,7.26,0.16,7.18,0.01,0,7.2,"18,89,752"
16-01-2021,Bagalakot,0.32,7.27,0.16,7.18,0.01,0,7.2,"18,89,752"
17-01-2021,Bagalakot,0.42,7.27,0.16,7.18,0.01,0,7.2,"18,89,752"
18-01-2021,Bagalakot,0.16,7.27,0.21,7.19,0.01,0,7.2,"18,89,752"
19-01-2021,Bagalakot,0.16,7.27,0.21,7.19,0.01,0,7.2,"18,89,752"
20-01-2021,Bagalakot,0.11,7.27,0.11,7.19,0.01,0,7.2,"18,89,752"
21-01-2021,Bagalakot,0,7.27,0.37,7.19,0.01,0,7.2,"18,89,752"
22-01-2021,Bagalakot,0.16,7.28,0.16,7.19,0.01,0,7.2,"18,89,752"
23-01-2021,Bagalakot,0.11,7.28,0.11,7.2,0.01,0,7.2,"18,89,752"
24-01-2021,Bagalakot,0,7.28,0,7.2,0.01,0,7.2,"18,89,752"
25-01-2021,Bagalakot,0.05,7.28,0.11,7.2,0.01,0,7.2,"18,89,752"
26-01-2021,Bagalakot,0,7.28,0.32,7.2,0.01,0,7.2,"18,89,752"
27-01-2021,Bagalakot,0,7.28,0.11,7.2,0.01,0,7.2,"18,89,752"
28-01-2021,Bagalakot,0.21,7.28,0.11,7.2,0.01,0,7.2,"18,89,752"
29-01-2021,Bagalakot,0,7.28,0.05,7.2,0.01,0,7.2,"18,89,752"
30-01-2021,Bagalakot,0.11,7.28,0.11,7.2,0.01,0,7.2,"18,89,752"
31-01-2021,Bagalakot,0.05,7.28,0,7.2,0.01,0,7.2,"18,89,752"
01-02-2021,Bagalakot,0.05,7.28,0.05,7.2,0.01,0,7.2,"18,89,752"
02-02-2021,Bagalakot,0,7.28,0.11,7.2,0.01,0,7.2,"18,89,752"
03-02-2021,Bagalakot,0.05,7.28,0,7.2,0.01,0,7.2,"18,89,752"
04-02-2021,Bagalakot,0.11,7.28,0,7.2,0.01,0,7.2,"18,89,752"
05-02-2021,Bagalakot,0.05,7.28,0.26,7.21,0,0,7.2,"18,89,752"
06-02-2021,Bagalakot,0,7.28,0,7.21,0,0,7.2,"18,89,752"
07-02-2021,Bagalakot,0,7.28,0,7.21,0,0,7.2,"18,89,752"
08-02-2021,Bagalakot,0,7.28,0.05,7.21,0,0,7.2,"18,89,752"
09-02-2021,Bagalakot,0,7.28,0.05,7.21,0,0,7.2,"18,89,752"
10-02-2021,Bagalakot,0,7.28,0.05,7.21,0,0,7.2,"18,89,752"
11-02-2021,Bagalakot,0,7.28,0,7.21,0,0,7.2,"18,89,752"
12-02-2021,Bagalakot,0.05,7.28,0.11,7.21,0,0,7.2,"18,89,752"
13-02-2021,Bagalakot,0,7.28,0,7.21,0,0,7.2,"18,89,752"
14-02-2021,Bagalakot,0,7.28,0,7.21,0,0,7.2,"18,89,752"
15-02-2021,Bagalakot,0.05,7.29,0,7.21,0,0,7.2,"18,89,752"
16-02-2021,Bagalakot,0,7.29,0.05,7.21,0,0,7.2,"18,89,752"
17-02-2021,Bagalakot,0,7.29,0.05,7.21,0,0,7.2,"18,89,752"
18-02-2021,Bagalakot,0,7.29,0,7.21,0,0,7.2,"18,89,752"
19-02-2021,Bagalakot,0.16,7.29,0,7.21,0,0,7.2,"18,89,752"
20-02-2021,Bagalakot,0.05,7.29,0,7.21,0,0,7.2,"18,89,752"
21-02-2021,Bagalakot,0.16,7.29,0.05,7.21,0.01,0,7.2,"18,89,752"
22-02-2021,Bagalakot,0.05,7.29,0,7.21,0.01,0,7.2,"18,89,752"
23-02-2021,Bagalakot,0,7.29,0,7.21,0.01,0,7.2,"18,89,752"
24-02-2021,Bagalakot,0.05,7.29,0.05,7.21,0.01,0,7.2,"18,89,752"
25-02-2021,Bagalakot,0.16,7.29,0.05,7.21,0.01,0,7.2,"18,89,752"
26-02-2021,Bagalakot,0,7.29,0.16,7.21,0.01,0,7.2,"18,89,752"
27-02-2021,Bagalakot,0,7.29,0,7.21,0.01,0,7.2,"18,89,752"
28-02-2021,Bagalakot,0,7.29,0.11,7.22,0,0,7.2,"18,89,752"
01-03-2021,Bagalakot,0,7.29,0.05,7.22,0,0,7.2,"18,89,752"
02-03-2021,Bagalakot,0,7.29,0.05,7.22,0,0,7.2,"18,89,752"
02-03-2021,Bagalakot,-0.31,1.98,0.01,1.97,-0.05,0.01,6.18,"18,89,752"
03-03-2021,Bagalakot,0,7.29,0.05,7.22,0,0,7.2,"18,89,752"
04-03-2021,Bagalakot,0,7.29,0.05,7.22,0,0,7.2,"18,89,752"
05-03-2021,Bagalakot,0.11,7.29,0.16,7.22,0,0,7.2,"18,89,752"
06-03-2021,Bagalakot,0,7.29,0,7.22,0,0,7.2,"18,89,752"
07-03-2021,Bagalakot,0,7.29,0,7.22,0,0,7.2,"18,89,752"
08-03-2021,Bagalakot,0,7.29,0,7.22,0,0,7.2,"18,89,752"
09-03-2021,Bagalakot,0.16,7.29,0,7.22,0,0,7.2,"18,89,752"
10-03-2021,Bagalakot,0.11,7.3,0,7.22,0,0,7.2,"18,89,752"
11-03-2021,Bagalakot,0.26,7.3,0,7.22,0.01,0,7.2,"18,89,752"
12-03-2021,Bagalakot,0.42,7.3,0.05,7.22,0.01,0,7.2,"18,89,752"
13-03-2021,Bagalakot,0.11,7.3,0,7.22,0.01,0,7.2,"18,89,752"
14-03-2021,Bagalakot,0.11,7.3,0.16,7.22,0.01,0,7.2,"18,89,752"
15-03-2021,Bagalakot,0,7.3,0.05,7.22,0.01,0,7.2,"18,89,752"
16-03-2021,Bagalakot,0.32,7.31,0.05,7.22,0.01,0,7.2,"18,89,752"
17-03-2021,Bagalakot,0.05,7.31,0.16,7.22,0.01,0,7.2,"18,89,752"
18-03-2021,Bagalakot,0.05,7.31,0.26,7.23,0.01,0,7.2,"18,89,752"
19-03-2021,Bagalakot,0,7.31,0.11,7.23,0.01,0,7.2,"18,89,752"
20-03-2021,Bagalakot,0.79,7.32,0.11,7.23,0.02,0,7.2,"18,89,752"
21-03-2021,Bagalakot,0.05,7.32,0.11,7.23,0.02,0,7.2,"18,89,752"
22-03-2021,Bagalakot,0.37,7.32,0.11,7.23,0.02,0,7.2,"18,89,752"
23-03-2021,Bagalakot,0.32,7.32,0.11,7.23,0.02,0,7.2,"18,89,752"
24-03-2021,Bagalakot,1.06,7.33,0.16,7.23,0.03,0,7.2,"18,89,752"
25-03-2021,Bagalakot,0.37,7.34,0.26,7.24,0.03,0,7.2,"18,89,752"
26-03-2021,Bagalakot,0.48,7.34,0.11,7.24,0.03,0,7.2,"18,89,752"
27-03-2021,Bagalakot,0.58,7.35,0.11,7.24,0.04,0,7.2,"18,89,752"
28-03-2021,Bagalakot,0.05,7.35,0.11,7.24,0.04,0,7.2,"18,89,752"
29-03-2021,Bagalakot,0.64,7.36,0.32,7.24,0.04,0,7.2,"18,89,752"
30-03-2021,Bagalakot,0.21,7.36,0.32,7.25,0.04,0,7.2,"18,89,752"
31-03-2021,Bagalakot,0.42,7.36,1.06,7.26,0.03,0,7.2,"18,89,752"
01-04-2021,Bagalakot,1.01,7.37,0.11,7.26,0.04,0,7.2,"18,89,752"
02-04-2021,Bagalakot,0.69,7.38,0.69,7.26,0.04,0,7.2,"18,89,752"
03-04-2021,Bagalakot,0.42,7.38,0.42,7.27,0.04,0,7.2,"18,89,752"
04-04-2021,Bagalakot,1.06,7.39,0.48,7.27,0.05,0,7.2,"18,89,752"
05-04-2021,Bagalakot,1.16,7.41,0.42,7.28,0.06,0,7.2,"18,89,752"
06-04-2021,Bagalakot,0.95,7.41,0.16,7.28,0.06,0,7.2,"18,89,752"
07-04-2021,Bagalakot,0.69,7.42,0.26,7.28,0.07,0,7.2,"18,89,752"
08-04-2021,Bagalakot,1.11,7.43,0.21,7.28,0.08,0,7.2,"18,89,752"
09-04-2021,Bagalakot,1.96,7.45,0.32,7.29,0.09,0,7.2,"18,89,752"
10-04-2021,Bagalakot,2.33,7.48,2.38,7.31,0.09,0,7.2,"18,89,752"
11-04-2021,Bagalakot,2.43,7.5,1.38,7.32,0.1,0.05,7.25,"18,89,752"
12-04-2021,Bagalakot,2.91,7.53,1.43,7.34,0.12,0.05,7.3,"18,89,752"
13-04-2021,Bagalakot,3.86,7.57,1.91,7.36,0.14,0,7.3,"18,89,752"
14-04-2021,Bagalakot,3.6,7.6,2.33,7.38,0.15,0,7.3,"18,89,752"
15-04-2021,Bagalakot,1.53,7.62,4.34,7.42,0.12,0,7.3,"18,89,752"
16-04-2021,Bagalakot,3.76,7.66,0.69,7.43,0.15,0,7.3,"18,89,752"
17-04-2021,Bagalakot,2.65,7.68,3.02,7.46,0.15,0,7.3,"18,89,752"
18-04-2021,Bagalakot,5.5,7.74,3.12,7.49,0.17,0,7.3,"18,89,752"
19-04-2021,Bagalakot,5.13,7.79,3.97,7.53,0.18,0,7.3,"18,89,752"
20-04-2021,Bagalakot,6.61,7.86,0.64,7.54,0.24,0,7.3,"18,89,752"
21-04-2021,Bagalakot,8.1,7.94,1.53,7.55,0.31,0.05,7.36,"18,89,752"
22-04-2021,Bagalakot,7.09,8.01,6.09,7.61,0.32,0.11,7.46,"18,89,752"
23-04-2021,Bagalakot,4.66,8.05,1.32,7.63,0.35,0,7.46,"18,89,752"
24-04-2021,Bagalakot,5.56,8.11,2.75,7.65,0.38,0,7.46,"18,89,752"
25-04-2021,Bagalakot,20.64,8.32,3.6,7.69,0.55,0,7.46,"18,89,752"
26-04-2021,Bagalakot,22.12,8.54,4.71,7.74,0.72,0.05,7.51,"18,89,752"
27-04-2021,Bagalakot,14.98,8.69,4.18,7.78,0.83,0.05,7.57,"18,89,752"
28-04-2021,Bagalakot,17.62,8.86,1.59,7.8,0.99,0.11,7.67,"18,89,752"
29-04-2021,Bagalakot,15.98,9.02,10,7.9,1.05,0.05,7.73,"18,89,752"
30-04-2021,Bagalakot,12.38,9.15,10.64,8,1.07,0.16,7.88,"18,89,752"
01-05-2021,Bagalakot,16.88,9.32,15.88,8.16,1.07,0.16,8.04,"18,89,752"
02-05-2021,Bagalakot,36.57,9.68,12.65,8.29,1.31,0.05,8.1,"18,89,752"
03-05-2021,Bagalakot,30.11,9.98,12.17,8.41,1.49,0.26,8.36,"18,89,752"
04-05-2021,Bagalakot,35.77,10.34,10.37,8.51,1.74,0.42,8.78,"18,89,752"
05-05-2021,Bagalakot,38.05,10.72,12.81,8.64,1.99,0.16,8.94,"18,89,752"
06-05-2021,Bagalakot,34.66,11.07,21.27,8.85,2.12,0.37,9.31,"18,89,752"
07-05-2021,Bagalakot,34.98,11.42,10.53,8.96,2.36,0.37,9.68,"18,89,752"
08-05-2021,Bagalakot,82.71,12.24,17.78,9.14,3.01,0.16,9.84,"18,89,752"
09-05-2021,Bagalakot,69.59,12.94,13.86,9.28,3.56,0.26,10.11,"18,89,752"
10-05-2021,Bagalakot,51.22,13.45,24.39,9.52,3.82,0.79,10.9,"18,89,752"
11-05-2021,Bagalakot,35.77,13.81,48.68,10.01,3.69,0.16,11.06,"18,89,752"
12-05-2021,Bagalakot,32.28,14.13,43.97,10.45,3.58,0.11,11.17,"18,89,752"
13-05-2021,Bagalakot,27.52,14.41,11.32,10.56,3.74,0,11.17,"18,89,752"
14-05-2021,Bagalakot,40.9,14.82,31.27,10.87,3.83,0.74,11.91,"18,89,752"
15-05-2021,Bagalakot,30.9,15.13,55.4,11.43,3.57,0.74,12.65,"18,89,752"
16-05-2021,Bagalakot,22.81,15.35,25.88,11.68,3.54,0.11,12.75,"18,89,752"
17-05-2021,Bagalakot,16.14,15.52,36.51,12.05,3.34,0.21,12.96,"18,89,752"
18-05-2021,Bagalakot,15.61,15.67,56.25,12.61,2.93,0.05,13.02,"18,89,752"
19-05-2021,Bagalakot,19.16,15.86,6.72,12.68,3.05,0.05,13.07,"18,89,752"
